country,capital,capital:de,capital:es,capital:fr,capital:nb,capital:cs,capital:ru,capital:nl,capital:sv,capital:pt,capital:zh,capital:pl,capital:it,capital:da,capital:el
Nepal,Kathmandu,Kathmandu,Katmandú,Katmandou,Katmandu,Káthmándú,Катманду,Kathmandu,Katmandu,Catmandu,加德满都(Kathmandu),Katmandu,Katmandu,Katmandu,Κατμαντού
Palestine,Jerusalem,Jerusalem,Jerusalén,Jérusalem,Jerusalem,Jeruzalém,Иерусалим,Jeruzalem,Jerusalem,Jerusalém,耶路撒冷(Jerusalem),Jerozolima,Gerusalemme,Jerusalem,Ιερουσαλήμ
Pakistan,Islamabad,Islamabad,Islamabad,Islamabad,Islamabad,Islámábád,Исламабад,Islamabad,Islamabad,Islamabade,伊斯兰堡(Islamabad),Islamabad,Islamabad,Islamabad,Ισλαμαμπάντ
Qatar,Doha,Doha,Doha,Doha,Doha,Dauhá,Доха,Doha,Doha,Doa,多哈(Doha),Doha,Doha,Doha,Ντόχα
Saudi Arabia,Riyadh,Riad,Riad,Riyad,Riyadh,Rijád,Эр-Рияд,Riyad,Riyadh,Riade,利雅得(Riyadh),Rijad,Riad,Riyadh,Ριάντ
Singapore,Singapore,Singapur,Singapur,Singapour,Singapore,Singapur,Сингапур,Singapore,Singapore,Singapura,新加坡(Singapore),Singapur,Singapore,Singapore,Σιγκαπούρη
Syria,Damascus,Damaskus,Damasco,Damas,Damaskus,Damašek,Дамаск,Damascus,Damaskus,Damasco,大马士革(Damascus),Damaszek,Damasco,Damaskus,Δαμασκός
Taiwan,Taipei,Taipeh,Taipéi,Taipei,Taipei,Tchaj-pej,Тайбэй,Taipei,Taipei,Taipé,台北(Taipei),Tajpej,Taipei,Taipei,Ταϊπέι
Sri Lanka,Sri Jayawardenepura Kotte,Sri Jayewardenepura Kotte,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte,Colombo,Šrí Džajavardanapura Kotte,Шри-Джаяварденепура-Котте,Sri Jayewardenapura Kotte,Sri Jayawardenapura,Seri Jaiavardenapura-Cota,斯里贾亚瓦德纳普拉科特(Sri Jayawardenepura Kotte)，亦称科特,Sri Dźajawardanapura Kotte,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte,Σρι Τζάγιαβαρντενεπουρα Κότε
Tajikistan,Dushanbe,Duschanbe,Dusambé,Douchanbé,Dusjanbe,Dušanbe,Душанбе,Doesjanbe,Dusjanbe,Duxambé,杜尚别(Dushanbe),Duszanbe,Dušanbe,Dusjanbe,Ντουσαμπέ
Thailand,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok,Бангкок,Bangkok,Bangkok,"Bancoque (BR), Banguecoque (PT)",曼谷(Bangkok),Bangkok,Bangkok,Bangkok,Μπανγκόκ
East Timor,Dili,Dili,Dili,Dili,Dili,Dili,Дили,Dili,Dili,Díli,帝力(Dili),Dili,Dili,Dili,Ντίλι
United Arab Emirates,Abu Dhabi,Abu Dhabi,Abu Dabi,Abou Dabi,Abu Dhabi,Abú Zabí,Абу-Даби,Abu Dhabi,Abu Dhabi,Abu Dabi,阿布扎比(Abu Dhabi),Abu Zabi,Abu Dhabi,Abu Dhabi,Άμπου Ντάμπι
Turkmenistan,Ashgabat,Aşgabat,Asjabad,Achgabat,Asjkhabad,Ašchabad,Ашхабад,Asjchabad,Asjchabad,Asgabate,阿什哈巴德(Ashgabat),Aszchabad,Aşgabat,Asjkhabad,Ασγκαμπάτ
Yemen,Sana'a,Sanaa,Saná,Sanaa,Sana,San'á,Сана,Sanaa,Sanaa,Saná,萨那(Sana'a),Sana,Sana'a,Sana,Σαναά
Vietnam,Hanoi,Hanoi,Hanói,Hanoï,Hanoi,Hanoj,Ханой,Hanoi,Hanoi,Hanói,河内(Hanoi),Hanoi,Hanoi,Hanoi,Ανόι
Uzbekistan,Tashkent,Taschkent,Taskent,Tachkent,Tasjkent,Taškent,Ташкент,Tasjkent,Tasjkent,Tasquente,塔什干(Tashkent),Taszkent,Tashkent,Tasjkent,Τασκένδη
Fiji,Suva,Suva,Suva,Suva,Suva,Suva,Сува,Suva,Suva,Suva,苏瓦(Suva),Suva,Suva,Suva,Σούβα
Papua New Guinea,Port Moresby,Port Moresby,Puerto Moresby,Port Moresby,Port Moresby,Port Moresby,Порт-Морсби,Port Moresby,Port Moresby,Porto Moresby,莫尔兹比港(Port Moresby),Port Moresby,Port Moresby,Port Moresby,Πορτ Μόρεσμπι
Australia,Canberra,Canberra,Canberra,Canberra,Canberra,Canberra,Канберра,Canberra,Canberra,Camberra,堪培拉(Canberra),Canberra,Canberra,Canberra,Καμπέρα
Solomon Islands,Honiara,Honiara,Honiara,Honiara,Honiara,Honiara,Хониара,Honiara,Honiara,Honiara,霍尼亚拉(Honiara),Honiara,Honiara,Honiara,Ονιάρα
Argentina,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Aires,Buenos Aires,Buenos Aires,布宜诺斯艾利斯(Buenos Aires),Buenos Aires,Buenos Aires,Buenos Aires,Μπουένος Άιρες
Bolivia,Sucre,Sucre,Sucre,Sucre,Sucre,Sucre,Сукре,Sucre,Sucre,Sucre,苏克雷(Sucre),Sucre,Sucre,Sucre,Σούκρε
Brazil,Brasília,Brasília,Brasilia,Brasilia,Brasilia,Brasília,Бразилиа,Brasilia,Brasília,Brasília,巴西利亚(Brasília),Brasilia,Brasilia,Brasilia,Μπραζίλια
Chile,Santiago,Santiago de Chile,Santiago de Chile,Santiago,Santiago de Chile,Santiago de Chile,Сантьяго,Santiago,Santiago de Chile,Santiago,圣地亚哥(Santiago),Santiago,Santiago del Cile,Santiago,Σαντιάγο
Colombia,Bogotá,Bogotá,Bogotá,Bogota,Bogotá,Bogotá,Богота,Bogota,Bogotá,Bogotá,波哥大(Bogotá),Bogota,Bogotà,Bogotá,Μπογκοτά
Ecuador,Quito,Quito,Quito,Quito,Quito,Quito,Кито,Quito,Quito,Quito,基多(Quito),Quito,Quito,Quito,Κίτο
Guyana,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Джорджтаун,Georgetown,Georgetown,Georgetown,乔治敦(Georgetown),Georgetown,Georgetown,Georgetown,Τζώρτζταουν
Paraguay,Asunción,Asunción,Asunción,Asuncion,Asunción,Asunción,Асунсьон,Asunción,Asunción,Assunção,亚松森(Asunción),Asunción,Asunción,Asunción,Ασουνσιόν
Peru,Lima,Lima,Lima,Lima,Lima,Lima,Лима,Lima,Lima,Lima,利马(Lima),Lima,Lima,Lima,Λίμα
Suriname,Paramaribo,Paramaribo,Paramaribo,Paramaribo,Paramaribo,Paramaribo,Парамарибо,Paramaribo,Paramaribo,Paramaribo,帕拉马里博(Paramaribo),Paramaribo,Paramaribo,Paramaribo,Παραμαρίμπο
Uruguay,Montevideo,Montevideo,Montevideo,Montevideo,Montevideo,Montevideo,Монтевидео,Montevideo,Montevideo,"Montevidéu (BR), Montevideu (PT)",蒙得维的亚(Montevideo),Montevideo,Montevideo,Montevideo,Μοντεβιδέο
Venezuela,Caracas,Caracas,Caracas,Caracas,Caracas,Caracas,Каракас,Caracas,Caracas,Caracas,加拉加斯(Caracas),Caracas,Caracas,Caracas,Καράκας
Cook Islands,Avarua,Avarua,Avarua,Avarua,Avarua,Avarua,Аваруа,Avarua,Avarua,Avarua,阿瓦鲁阿(Avarua),Avarua,Avarua,Avarua,Αβαρούα
Federated States of Micronesia,Palikir,Palikir,Palikir,Palikir,Palikir,Palikir,Паликир,Palikir,Palikir,Paliquir,帕利基尔(Palikir),Palikir,Palikir,Palikir,Παλικίρ
Guam,Hagåtña,Hagåtña,Agaña,Hagåtña,Hagåtña,Hagåtña,Хагатна,Hagåtña,Hagåtña,Aganha,哈加特纳(Hagåtña),Hagåtña,Hagåtña,Agana,Χαγκάτνια
Vanuatu,Port Vila,Port Vila,Port Vila,Port-Vila,Vila,Port Vila,Порт-Вила,Port Vila,Port Vila,Porto Vila,维拉港(Port Vila),Port Vila,Port Vila,Port Vila,Πορτ Βίλα
Canada,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Оттава,Ottawa,Ottawa,Otava,渥太华(Ottawa),Ottawa,Ottawa,Ottawa,Οττάβα
United States of America,"Washington, D.C.","Washington, D.C.",Washington D. C.,Washington,"Washington, D.C.","Washington, D.C.","Вашингтон, округ Колумбия",Washington D.C.,"Washington, D.C.","Washington, D.C.","华盛顿特区(Washington, D.C.)",Waszyngton,Washington,Washington,Ουάσιγκτον
Mexico,Mexico City,Mexiko-Stadt,Ciudad de México,Mexico,Mexico by,Ciudad de México,Мехико,Mexico-Stad,Mexico City,Cidade do México,墨西哥城(Mexico City),Meksyk,Città del Messico,Mexico City,Πόλη του Μεξικού
Puerto Rico,San Juan,San Juan,San Juan,San Juan,San Juan,San Juan,Сан-Хуан,San Juan,San Juan,São João,圣胡安(San Juan),San Juan,San Juan,San Juan,Σαν Χουάν
Cuba,Havana,Havanna,La Habana,La Havane,Havanna,Havana,Гавана,Havana,Havanna,Havana,哈瓦那(Havana),Hawana,L'Avana,Havanna,Αβάνα
Dominican Republic,Santo Domingo,Santo Domingo,Santo Domingo,Saint-Domingue,Santo Domingo,Santo Domingo,Санто-Доминго,Santo Domingo,Santo Domingo,São Domingos,圣多明各(Santo Domingo),Santo Domingo,Santo Domingo,Santo Domingo,Σάντο Ντομίνγκο
Haiti,Port-au-Prince,Port-au-Prince,Puerto Príncipe,Port-au-Prince,Port-au-Prince,Port-au-Prince,Порт-о-Пренс,Port-au-Prince,Port-au-Prince,Porto Príncipe,太子港(Port-au-Prince),Port-au-Prince,Port-au-Prince,Port-au-Prince,Πορ-ω-Πρενς
Jamaica,Kingston,Kingston,Kingston,Kingston,Kingston,Kingston,Кингстон,Kingston,Kingston,Kingston,金斯敦(Kingston),Kingston,Kingston,Kingston,Κίνγκστον
Trinidad and Tobago,Port of Spain,Port of Spain,Puerto España,Port-d'Espagne,Port of Spain,Port of Spain,Порт-оф-Спейн,Port of Spain,Port of Spain,Porto da Espanha,西班牙港(Port of Spain),Port-of-Spain,Port of Spain,Port of Spain,Πορτ οφ Σπέιν
The Bahamas,Nassau,Nassau,Nasáu,Nassau,Nassau,Nassau,Нассау,Nassau,Nassau,Nassau,拿骚(Nassau),Nassau,Nassau,Nassau,Νάσσαου
Barbados,Bridgetown,Bridgetown,Bridgetown,Bridgetown,Bridgetown,Bridgetown,Бриджтаун,Bridgetown,Bridgetown,Bridgetown,布里奇敦(Bridgetown),Bridgetown,Bridgetown,Bridgetown,Μπριτζτάουν
Belize,Belmopan,Belmopan,Belmopán,Belmopan,Belmopan,Belmopan,Бельмопан,Belmopan,Belmopan,Belmopã,贝尔莫潘(Belmopan),Belmopan,Belmopan,Belmopan,Μπελμοπάν
Costa Rica,San José,San José,San José,San José,San José,San José,Сан-Хосе,San José,San José,São José,圣何塞(San José),San José,San José,San José,Σαν Χοσέ
El Salvador,San Salvador,San Salvador,San Salvador,San Salvador,San Salvador,San Salvador,Сан-Сальвадор,San Salvador,San Salvador,São Salvador,圣萨尔瓦多(San Salvador),San Salvador,San Salvador,San Salvador,Σαν Σαλβαδόρ
Guatemala,Guatemala City,Guatemala-Stadt,Ciudad de Guatemala,Guatemala,Guatemala by,Ciudad de Guatemala,Гватемала,Guatemala-Stad,Guatemala City,Cidade da Guatemala,危地马拉市(Guatemala City),Gwatemala,Città del Guatemala,Guatemala City,Πόλη της Γουατεμάλας
Honduras,Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegucigalpa,Тегусигальпа,Tegucigalpa,Tegucigalpa,Tegucigalpa,特古西加尔巴(Tegucigalpa),Tegucigalpa,Tegucigalpa,Tegucigalpa,Τεγουσιγάλπα
Nicaragua,Managua,Managua,Managua,Managua,Managua,Managua,Манагуа,Managua,Managua,Manágua,马那瓜(Managua),Managua,Managua,Managua,Μανάγουα
Panama,Panama City,Panama-Stadt,Ciudad de Panamá,Panama,Panama by,Panamá,Панама-Сити,Panama-stad,Panama City,Cidade do Panamá,巴拿马城(Panama City),Panama,Panama,Panama City,Πόλη του Παναμά
Antigua and Barbuda,St. John's,Saint John’s,Saint John,Saint John's,Saint John’s,Saint John's,Сент-Джонс,Saint John's,Saint John's,São João,圣约翰(St. John's),Saint John’s,Saint John's,St. John’s,Σεντ Τζονς
Dominica,Roseau,Roseau,Roseau,Roseau,Roseau,Roseau,Розо,Roseau,Roseau,Roseau,罗索(Roseau),Roseau,Roseau,Roseau,Ροζό
Saint Vincent and the Grenadines,Kingstown,Kingstown,Kingstown,Kingstown,Kingstown,Kingstown,Кингстаун,Kingstown,Kingstown,Kingstown,金斯敦(Kingstown),Kingstown,Kingstown,Kingstown,Κίνγκσταουν
Somalia,Mogadishu,Mogadischu,Mogadiscio,Mogadiscio,Mogadishu,Mogadišo,Могадишо,Mogadishu,Mogadishu,Mogadíscio,摩加迪沙(Mogadishu),Mogadiszu,Mogadiscio,Mogadishu,Μογκαντίσου
Ghana,Accra,Accra,Acra,Accra,Accra,Accra,Аккра,Accra,Accra,Acra,阿克拉(Accra),Akra,Accra,Accra,Άκκρα
Guinea,Conakry,Conakry,Conakri,Conakry,Conakry,Conakry,Конакри,Conakry,Conakry,Conacri,科纳克里(Conakry),Konakry,Conakry,Conakry,Κονακρί
New Zealand,Wellington,Wellington,Wellington,Wellington,Wellington,Wellington,Веллингтон,Wellington,Wellington,Wellington,惠灵顿(Wellington),Wellington,Wellington,Wellington,Ουέλινγκτον
French Polynesia,Papeete,Papeete,Papeete,Papeete,Papeete,Papeete,Папеэте,Papeete,Papeete,Papete,帕皮提(Papeete),Papeete,Papeete,Papeete,Παπεέτε
Philippines,Manila,Manila,Manila,Manille,Manila,Manila,Манила,Manilla,Manila,Manila,马尼拉(Manila),Manila,Manila,Manila,Μανίλα
Kosovo,Pristina,Pristina,Pristina,Pristina,Pristina,Priština,Приштина,Pristina,Pristina,Pristina,普里什蒂纳(Pristina),Prisztina,Pristina,Pristina,Πρίστινα
Libya,Tripoli,Tripolis,Trípoli,Tripoli,Tripoli,Tripolis,Триполи,Tripoli,Tripoli,Trípoli,的黎波里(Tripoli),Trypolis,Tripoli,Tripoli,Τρίπολη
Palau,Ngerulmud,Ngerulmud,Ngerulmud,Ngerulmud,Ngerulmud,Ngerulmud,Нгерулмуд,Ngerulmud,Ngerulmud,Ngerulmud,恩格鲁穆德(Ngerulmud),Ngerulmud,Ngerulmud,Ngerulmud,Νγκερουλμούντ
Saint Lucia,Castries,Castries,Castries,Castries,Castries,Castries,Кастри,Castries,Castries,Castries,卡斯特里(Castries),Castries,Castries,Castries,Κάστρις
Grenada,St. George's,St. George's,Saint George,Saint-Georges,St. George's,Saint George's,Сент-Джорджес,Saint George's,Saint George's,São Jorge,圣乔治(St. George's),Saint George’s,Saint George's,St. George’s,Σαιντ Τζόρτζις
Curaçao,Willemstad,Willemstad,Willemstad,Willemstad,Willemstad,Willemstad,Виллемстад,Willemstad,Willemstad,Willemstad,威廉斯塔德(Willemstad),Willemstad,Willemstad,Willemstad,Βίλλεμστατ
Kiribati,South Tarawa,South Tarawa,Tarawa Sur,Tarawa-Sud,South Tarawa,Jižní Tarawa,Южная Тарава,Zuid-Tarawa,South Tarawa,Taraua do Sul,南塔拉瓦(South Tarawa),South Tarawa,Tarawa Sud,Sydtarawa,Νότια Ταράουα
Marshall Islands,Majuro,Majuro,Majuro,Majuro,Majuro,Majuro,Маджуро,Majuro,Majuro,Majuro,马朱罗(Majuro),Majuro,Majuro,Majuro,Ματζούρο
Nauru,Yaren,Yaren,Yaren,Yaren,Yaren,Yaren,Ярен,Yaren,Yaren,Iarém,亚伦(Yaren),Yaren,Yaren,Yaren,Γιαρέν
New Caledonia,Nouméa,Nouméa,Numea,Nouméa,Nouméa,Nouméa,Нумеа,Nouméa,Nouméa,Numeá,努美阿(Nouméa),Numea,Numea,Nouméa,Νουμεά
Niue,Alofi,Alofi,Alofi,Alofi,Alofi,Alofi,Алофи,Alofi,Alofi,Alofi,阿洛菲(Alofi),Alofi,Alofi,Alofi,Αλόφι
Northern Cyprus,North Nicosia,Nord-Nikosia,Nicosia del Norte,Nicosie-Nord,Nord-Nikosia,Severní Nikósie,Северная Никосия,Noord-Nicosia,Norra Nicosia,Nicósia do Norte,北尼科西亚(North Nicosia),Nikozja Północna,Nicosia Nord,Nordnicosia,Βόρεια Λευκωσία
Saint Kitts and Nevis,Basseterre,Basseterre,Basseterre,Basseterre,Basseterre,Basseterre,Бастер,Basseterre,Basseterre,Basseterre,巴斯特尔(Basseterre),Basseterre,Basseterre,Basseterre,Μπαστέρ
Samoa,Apia,Apia,Apia,Apia,Apia,Apia,Апиа,Apia,Apia,Apia,阿皮亚(Apia),Apia,Apia,Apia,Απία
Somaliland,Hargeisa,Hargeysa,Hargeisa,Hargeisa,Hargeisa,Hargeysa,Харгейса,Hargeisa,Hargeisa,Hargeisa,哈尔格萨(Hargeisa),Hargejsa,Hargheisa,Hargeisa,Χαργκέισα
South Sudan,Juba,Juba,Yuba,Djouba,Juba,Džuba,Джуба,Djoeba,Juba,Juba,朱巴(Juba),Dżuba,Giuba,Juba,Τζούμπα
Tuvalu,Funafuti,Funafuti,Funafuti,Funafuti,Funafuti,Funafuti,Фунафути,Funafuti,Funafuti,Funafuti,富纳富提(Funafuti),Funafuti,Funafuti,Funafuti,Φουναφούτι
United States Virgin Islands,Charlotte Amalie,Charlotte Amalie,Charlotte Amalie,Charlotte-Amélie,Charlotte Amalie,Charlotte Amalie,Шарлотта-Амалия,Charlotte Amalie,Charlotte Amalie,Carlota Amália,夏洛特阿马利亚(Charlotte Amalie),Charlotte Amalie,Charlotte Amalie,Charlotte Amalie,Σαρλότ Αμαλί
Åland Islands,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Mariehamn,Мариехамн,Mariehamn,Mariehamn,Marianhamina,玛丽港(Mariehamn),Maarianhamina,Mariehamn,Mariehamn,Μαριεχάμν
South Ossetia,Tskhinvali,Zchinwali,Tsjinval,Tskhinvali,Tskhinvali,Cchinvali,Цхинвал,Tschinvali,Tschinvali,Tsequinváli,茨欣瓦利(Tskhinvali),Cchinwali,Tskhinvali,Tskhinvali,Τσχινβάλι
Aruba,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Ораньестад,Oranjestad,Oranjestad,Oranjestade,奥拉涅斯塔德(Oranjestad),Oranjestad,Oranjestad,Oranjestad,Οράνιεστατ
Abkhazia,Sukhumi,Sochumi,Sujumi,Soukhoumi,Sukhumi,Suchumi,Сухуми,Soechoemi,Suchumi,Sucumi,苏呼米(Sukhumi),Suchumi,Sukhumi,Sukhumi,Σουχούμι
Tonga,Nukuʻalofa,Nukuʻalofa,Nukualofa,Nukuʻalofa,Nukualofa,Nukuʻalofa,Нукуалофа,Nukuʻalofa,Nuku'alofa,Nucualofa,努库阿洛法(Nukuʻalofa),Nukuʻalofa,Nukuʻalofa,Nukualofa,Νουκουαλόφα
Transnistria,Tiraspol,Tiraspol,Tiráspol,Tiraspol,Tiraspol,Tiraspol,Тирасполь,Tiraspol,Tiraspol,Tiráspol,蒂拉斯波尔(Tiraspol),Tyraspol,Tiraspol,Tiraspol,Τιράσπολ
